	CHANNEL	AIR_DATE	TIME	DURATION	REF_ID	TITLE	EVENT_NAT_DEF
0	J2	2019-11-01	06:00:00	10	GDP	LOVE O2O	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
1	TVBFIN	2019-11-01	06:00:02	10	GDP	SENIOR LIVING	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
2	J2	2019-11-01	06:00:10	20	BLHA419001	ASIA'S APPETIZ(1930=A	Promo
3	TVBFIN	2019-11-01	06:00:12	20	JTD9929445	KONEW:MAN WHO KILL-&=A	Promo
4	J2	2019-11-01	06:00:30	20	JUDA626447	WK:10 CLOV(SUN213(C(A	Promo
5	TVBFIN	2019-11-01	06:00:32	20	JGN9870436	MPL:STORY MINGLAN-&=A	Promo
6	J2	2019-11-01	06:00:50	15	S19666	SHAMSHUIPO CELEBRATION-TVB WEEKLY	Commercial
7	TVBFIN	2019-11-01	06:00:52	15	S19666	SHAMSHUIPO CELEBRATION-TVB WEEKLY	Commercial
8	J2	2019-11-01	06:01:05	20	JTD9929445	KONEW:MAN WHO KILL-&=A	Promo
9	TVBFIN	2019-11-01	06:01:07	10	H17387	HAITONG INT'L SECURITIES PROMO	Commercial
10	TVBFIN	2019-11-01	06:01:17	10	CGNA015011	RICHFIELD:NEWS FILE	Promo
11	J2	2019-11-01	06:01:25	10	BIDA001002	"STATION ID(10"")"	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
12	TVBFIN	2019-11-01	06:01:27	30	AGT1078445	GREAT WALL(1830-&=A	Promo
13	J2	2019-11-01	06:01:35	3	BANA004910	INDIRECT AD	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
14	J2	2019-11-01	06:01:38	10	BANA002002	LANG ANN(IN CANT/PTH)	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
15	TVBFIN	2019-11-01	06:01:57	10	AID0001210	FIN & INFO(ID	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
16	TVBFIN	2019-11-01	06:02:07	3	AAN0005012	INDIRECT AD WARNING	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
17	TVBNews	2019-11-01	06:12:30	15	T18074	TRIVAGO.COM-DAD	Commercial
18	TVBNews	2019-11-01	06:12:45	30	S19551	SEIKO WATCH-GRAND	Commercial
19	J2	2019-11-01	06:12:53	10	BUDA416002	GROWING UP(SUN1835A	Promo
20	J2	2019-11-01	06:13:03	20	JUD9484444	DO DID EAT-&=A	Promo
21	TVBNews	2019-11-01	06:13:15	10	CGN0003191	AIRLAND:TRAFFIC074,081	Promo
22	J2	2019-11-01	06:13:23	15	C22849	CHINESE ESSENCE HAIR CARE	Commercial
23	TVBNews	2019-11-01	06:13:25	20	JTD9886445	FINDING VOICE-&=A	Promo
24	J2	2019-11-01	06:13:38	30	S19567	SAMARITAN-ELDERLY SUICIDE      SA 31	API / GIS
25	TVBNews	2019-11-01	06:13:45	10	AGN0950405	CH.UNICOM:FIN NEW(22-=	Promo
26	TVBFIN	2019-11-01	06:13:53	20	JTD9886445	FINDING VOICE-&=A	Promo
27	TVBNews	2019-11-01	06:13:55	30	JUD0361441	PROG PRESENT 2020-&=A	Promo
28	J2	2019-11-01	06:14:08	10	BGN1012437	SOLITARY(SUN2245A	Promo
29	TVBFIN	2019-11-01	06:14:13	20	AUD1100944	KAMKOK:SPORT(203/23&=A	Promo
30	J2	2019-11-01	06:14:18	20	JGTA864445	JAMIE FAM(TD203(C(A	Promo
